Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
30227022,"King's Cage (Red Queen, #3)",Victoria Aveyard,"Aveyard, Victoria",,"=""0062310690""","=""9780062310699""",5,3.95,HarperTeen,Hardcover,512,2017,2017,2020/04/09,2018/07/11,,,read,,,,1,,,0,,,,,
15998366,"The Fame Thief (Junior Bender, #3)",Timothy Hallinan,"Hallinan, Timothy",,"=""1616952806""","=""9781616952808""",0,3.95,Soho Crime,Hardcover,336,2013,2013,,2020/04/04,to-read,to-read (#49),to-read,,,,0,,,0,,,,,
34728925,"The Strange Case of the Alchemist's Daughter (The Extraordinary Adventures of the Athena Club, #1)",Theodora Goss,"Goss, Theodora",,"=""1534409637""","=""9781534409637""",0,3.82,Simon & Schuster Books for Young Readers,Paperback,402,2017,2017,,2020/03/30,to-read,to-read (#48),to-read,,,,0,,,0,,,,,
46306,The Complete Fairy Tales,Hans Christian Andersen,"Andersen, Hans Christian","Lily Owens, Arthur Rackham, Hans Richter","=""0517092913""","=""9780517092910""",0,4.28,Gramercy Books,Hardcover,803,1996,1872,,2020/03/22,to-read,to-read (#47),to-read,,,,0,,,0,,,,,
1291920,The Red Shoes,Hans Christian Andersen,"Andersen, Hans Christian",Barbara Bazilian,"=""1879085569""","=""9781879085565""",0,3.58,Charlesbridge,Hardcover,32,1997,1845,,2020/03/22,to-read,to-read (#46),to-read,,,,0,,,0,,,,,
139987,The Snow Queen,Hans Christian Andersen,"Andersen, Hans Christian",T. Pym,"=""0375415122""","=""9780375415128""",0,3.74,Everyman's Library,Hardcover,96,2002,1844,,2020/03/22,"to-read, really-want-to-read","to-read (#45), really-want-to-read (#3)",to-read,,,,0,,,0,,,,,
52462895,The Paper Girl of Paris,Jordyn Taylor,"Taylor, Jordyn",,"=""006293662X""","=""9780062936622""",0,4.05,HarperTeen,Hardcover,359,2020,2020,,2019/10/14,to-read,to-read (#36),to-read,,,,0,,,0,,,,,
34273236,Little Fires Everywhere,Celeste Ng,"Ng, Celeste",,"=""0735224293""","=""9780735224292""",0,4.09,Penguin Press,Hardcover,338,2017,2017,,2020/02/21,to-read,to-read (#44),to-read,,,,0,,,0,,,,,
653396,Feel the Fear and Do It Anyway,"Susan  Jeffers, Ph.D.","Ph.D., Susan Jeffers,",,"=""0449902927""","=""9780449902929""",0,4.02,Ballantine Books,Paperback,240,1998,1987,,2019/06/14,"to-read, really-want-to-read","to-read (#19), really-want-to-read (#2)",to-read,,,,0,,,0,,,,,
4894,Who Moved My Cheese?,Spencer Johnson,"Johnson, Spencer",Kenneth H. Blanchard,"=""0091883768""","=""9780091883768""",0,3.84,Vermilion,Hardcover,96,2002,1998,,2019/06/14,"to-read, really-want-to-read","to-read (#17), really-want-to-read (#1)",to-read,,,,0,,,0,,,,,
15737151,Lost At Sea: The Jon Ronson Mysteries,Jon Ronson,"Ronson, Jon",,"=""1594631375""","=""9781594631375""",0,3.98,Riverhead Hardcover ,Hardcover,400,2012,2012,,2020/01/11,to-read,to-read (#43),to-read,,,,0,,,0,,,,,
40617092,Recipe for a Perfect Wife,Karma Brown,"Brown, Karma",,"=""""","=""9781524744946""",0,3.68,Dutton,ebook,336,2020,2019,,2019/12/24,to-read,to-read (#42),to-read,,,,0,,,0,,,,,
42592725,The Authenticity Project,Clare Pooley,"Pooley, Clare",,"=""1984878611""","=""9781984878618""",0,3.95,Pamela Dorman Books,Hardcover,357,2020,2020,,2019/12/24,to-read,to-read (#41),to-read,,,,0,,,0,,,,,
24770,"Uglies (Uglies, #1)",Scott Westerfeld,"Westerfeld, Scott",,"=""0689865384""","=""9780689865381""",0,3.85,Simon Pulse,Paperback,425,2005,2005,,2019/11/17,to-read,to-read (#40),to-read,,,,0,,,0,,,,,
3120995,The Secret Life of Walter Mitty,James Thurber,"Thurber, James",,"=""1583415866""","=""9781583415863""",0,3.67,Creative Education,Hardcover,32,2008,1939,,2019/11/06,to-read,to-read (#39),to-read,,,,0,,,0,,,,,
538046,Make It Bigger: (illustrated monograph on the design process and work of Paula Scher),Paula Scher,"Scher, Paula",,"=""1568985487""","=""9781568985480""",0,4.17,Princeton Architectural Press,Paperback,272,2005,2002,,2019/10/29,to-read,to-read (#38),to-read,,,,0,,,0,,,,,
623976,"Alcatraz Versus the Evil Librarians (Alcatraz, #1)",Brandon Sanderson,"Sanderson, Brandon",,"=""0439925509""","=""9780439925501""",0,3.90,Scholastic Press,Hardcover,308,2007,2007,,2019/10/22,to-read,to-read (#37),to-read,,,,0,,,0,,,,,
2204464,Ever,Gail Carson Levine,"Levine, Gail Carson",,"=""0061229628""","=""9780061229626""",0,3.47,HarperCollins,Hardcover,244,2008,2008,,2019/10/14,to-read,to-read (#35),to-read,,,,0,,,0,,,,,
18144590,The Alchemist,Paulo Coelho,"Coelho, Paulo","Alan R. Clarke, James Noel Smith","=""0062315005""","=""9780062315007""",0,3.90,HarperOne,Paperback,182,2014,1988,,2019/10/13,to-read,to-read (#34),to-read,,,,0,,,0,,,,,
28421168,"Renegades (Renegades, #1)",Marissa Meyer,"Meyer, Marissa",,"=""1250044669""","=""9781250044662""",5,4.15,Feiwel & Friends,Hardcover,552,2017,2017,,2019/08/08,,,read,,,,1,,,0,,,,,
13206900,"Winter (The Lunar Chronicles, #4)",Marissa Meyer,"Meyer, Marissa",,"=""0312642989""","=""9780312642983""",5,4.43,Feiwel & Friends,Hardcover,827,2015,2015,,2019/01/01,,,read,,,,1,,,0,,,,,
13206828,"Cress (The Lunar Chronicles, #3)",Marissa Meyer,"Meyer, Marissa",,"=""0312642970""","=""9780312642976""",5,4.42,Feiwel & Friends,Hardcover,552,2014,2014,,2019/01/01,favorites,favorites (#3),read,,,,1,,,0,,,,,
13206760,"Scarlet (The Lunar Chronicles, #2)",Marissa Meyer,"Meyer, Marissa",,"=""0312642962""","=""9780312642969""",5,4.26,Feiwel & Friends,Hardcover,454,2013,2013,,2019/01/01,,,read,,,,1,,,0,,,,,
36381037,"Cinder (The Lunar Chronicles, #1)",Marissa Meyer,"Meyer, Marissa",,"=""""","=""""",5,4.13,Feiwel & Friends,Hardcover,400,2012,2012,,2018/07/11,,,read,,,,1,,,0,,,,,
35269145,Just Ella (Books of Dalthia #1),Annette K. Larsen,"Larsen, Annette K.",,"=""""","=""""",0,4.17,Hidden Falls Publishing,Kindle Edition,300,2017,2013,,2019/05/12,to-read,to-read (#33),to-read,,,,0,,,0,,,,,
34499221,To Kill a Kingdom,Alexandra Christo,"Christo, Alexandra",,"=""1250112680""","=""9781250112682""",0,3.82,Feiwel & Friends,Hardcover,344,2018,2018,,2019/08/08,to-read,to-read (#32),to-read,,,,0,,,0,,,,,
36101678,The Festival of Trial and Ember (Faerie Festival #1),Logan Miehl,"Miehl, Logan",,"=""""","=""""",0,4.26,Touchwood Publishing,Kindle Edition,332,2017,2017,,2019/08/06,to-read,to-read (#31),to-read,,,,0,,,0,,,,,
20758105,"Monsters of Men (Chaos Walking, #3)",Patrick Ness,"Ness, Patrick",,"=""0763676195""","=""9780763676193""",0,4.22,Candlewick,Paperback,643,2014,2010,,2019/07/28,to-read,to-read (#30),to-read,,,,0,,,0,,,,,
20758103,"The Ask and the Answer (Chaos Walking, #2)",Patrick Ness,"Ness, Patrick",,"=""0763676179""","=""9780763676179""",0,4.19,Candlewick,Paperback,553,2014,2009,,2019/07/28,to-read,to-read (#29),to-read,,,,0,,,0,,,,,
