"ASIN","GROUP","FORMAT"
"1840244321","book","hardcover"
"1936319683","book","hardcover"
"1608310779","book","hardcover"
"0545175348","book","hardcover"
"0199233217","book","hardcover"
"0689807597","book","hardcover"
"0684194333","book","hardcover"
"0689802986","book","hardcover"
"0684824906","book","hardcover"
"0470941529","book","hardcover"
"0830743138","book","hardcover"
"1400067553","book","hardcover"
"0307592731","book","hardcover"
"0307975878","book","hardcover"
"0802115365","book","hardcover"
"0670823414","book","hardcover"
"0670819549","book","hardcover"
"047174915X","book","hardcover"
"0226734560","book","hardcover"
"1439187002","book","hardcover"
"0226923614","book","hardcover"
"0521370957","book","hardcover"
"0439813786","book","hardcover"
"0394823370","book","hardcover"
"047092327X","book","hardcover"
"1591844355","book","hardcover"
"0307719219","book","hardcover"
"1607743949","book","hardcover"
"1582406197","book","hardcover"
"0132858037","book","hardcover"
"0062217208","book","hardcover"
"1477202978","book","hardcover"
"055380491X","book","hardcover"
"1608090760","book","hardcover"
"1621000613","book","hardcover"
"1577315936","book","hardcover"
"1577314719","book","hardcover"
"1577312368","book","hardcover"
"0395788307","book","hardcover"
"1577314034","book","hardcover"
"1591858151","book","hardcover"
"0470975873","book","hardcover"
"1556174926","book","hardcover"
"1616147652","book","hardcover"
"1419704176","book","hardcover"
"0316227781","book","hardcover"
"0061130974","book","hardcover"
"1454908270","book","hardcover"
"1903071658","book","hardcover"
"190307164X","book","hardcover"
"1903071631","book","hardcover"
"0385535147","book","hardcover"
"1616384875","book","hardcover"
"1591845521","book","hardcover"
"1594631204","book","hardcover"
"0850598125","book","hardcover"
"022600919X","book","hardcover"
"0399214577","book","hardcover"
"0385350287","book","hardcover"
"0988667002","book","hardcover"
"1423150643","book","hardcover"
"0534229026","book","hardcover"
"0073370592","book","hardcover"
"0136070620","book","hardcover"
"1905928076","book","hardcover"
"0864926634","book","hardcover"
"0316098124","book","hardcover"
"1422162672","book","hardcover"
"1848000693","book","hardcover"
"111829534X","book","hardcover"
"0764309587","book","hardcover"
"235250080X","book","hardcover"
"0764340336","book","hardcover"
"0764310658","book","hardcover"
"0764300911","book","hardcover"
"2915239991","book","hardcover"
"0764325825","book","hardcover"
"0764305832","book","hardcover"
"144221726X","book","hardcover"
"0226078280","book","hardcover"
"0132014084","book","hardcover"
"007293414X","book","hardcover"
"0324655525","book","hardcover"
"1612345700","book","hardcover"
"0199219850","book","hardcover"
"0470723467","book","hardcover"
"1118315324","book","hardcover"
"0887408036","book","hardcover"
"007337993X","book","hardcover"
"0521898064","book","hardcover"
"1420099825","book","hardcover"
"1462635261","book","hardcover"
"1935547364","book","hardcover"
"1903071305","book","hardcover"
"0803738323","book","hardcover"
"1608324303","book","hardcover"
"1885167776","book","hardcover"
"0077224817","book","hardcover"
"1621317803","book","hardcover"
"059306996X","book","hardcover"
"1118130510","book","hardcover"
"0307700666","book","hardcover"
"0385537859","book","hardcover"
"0765329506","book","hardcover"
"1449068979","book","hardcover"
"1400064287","book","hardcover"
"9653015664","book","hardcover"
"0819571288","book","hardcover"
"1455515035","book","hardcover"
"1908211083","book","hardcover"
"0470100877","book","hardcover"
"1602861676","book","hardcover"
"0307953912","book","hardcover"
"0439439663","book","hardcover"
"1580139736","book","hardcover"
"0804782245","book","hardcover"
"0762435623","book","hardcover"
"1449437524","book","hardcover"
"1611457785","book","hardcover"
"0226675009","book","hardcover"
"1442215208","book","hardcover"
"0983908508","book","hardcover"
"0470421355","book","hardcover"
"3191017364","book","hardcover"
"097649437X","book","hardcover"
"0062085492","book","hardcover"
"141656702X","book","hardcover"
"1451686579","book","hardcover"
"3868832734","book","hardcover"
"0199601836","book","hardcover"
"0525953191","book","hardcover"
"380313241X","book","hardcover"
"3426198851","book","hardcover"
"0765322196","book","hardcover"
"3642310257","book","hardcover"
"B00B1L8IGK","book","hardcover"
"1118370708","book","hardcover"
"0521223342","book","hardcover"
"161168255X","book","hardcover"
"006212594X","book","hardcover"
"069109750X","book","hardcover"
"1137278234","book","hardcover"
"022602010X","book","hardcover"
"0071771212","book","hardcover"
"0979969417","book","hardcover"
"3864010012","book","hardcover"
"3517087777","book","hardcover"
"0387849246","book","hardcover"
"0061967556","book","hardcover"
"0578036428","book","hardcover"
"006202406X","book","hardcover"
"0765333694","book","hardcover"
"1118356853","book","hardcover"
"0770437494","book","hardcover"
"1937077594","book","hardcover"
"0674050185","book","hardcover"
"0061728977","book","hardcover"
"0345545249","book","hardcover"
"1583334734","book","hardcover"
"0226039331","book","hardcover"
"0061953385","book","hardcover"
"8426138489","book","hardcover"
"0470907924","book","hardcover"
"1442480610","book","hardcover"
"1439860912","book","hardcover"
"0385349947","book","hardcover"
"1423139933","book","hardcover"
"3895334111","book","hardcover"
"3570127168","book","hardcover"
"1476735115","book","hardcover"
"1464201021","book","hardcover"
"054792853X","book","hardcover"
"1250012570","book","hardcover"
"0231140983","book","hardcover"
"0679433139","book","hardcover"
"1620862417","book","hardcover"
"3990250493","book","hardcover"
"0399158375","book","hardcover"
"0310708257","book","hardcover"
"111826682X","book","hardcover"
"1610391381","book","hardcover"
"0545443520","book","hardcover"
"1586177249","book","hardcover"
"0135057493","book","hardcover"
"0393913252","book","hardcover"
"0393079619","book","hardcover"
"1466557613","book","hardcover"
"3890294111","book","hardcover"
"1118410858","book","hardcover"
"1621362507","book","hardcover"
"1621360105","book","hardcover"
"1581960441","book","hardcover"
"0226436942","book","hardcover"
"1403946744","book","hardcover"
"3895662488","book","hardcover"
"0757317642","book","hardcover"
"1605984086","book","hardcover"
"1579623336","book","hardcover"
"1623360943","book","hardcover"
"0062097903","book","hardcover"
"1602586446","book","hardcover"
"0071418210","book","hardcover"
"1250038820","book","hardcover"
"047064365X","book","hardcover"
"0226922960","book","hardcover"
"0727882619","book","hardcover"
"389566247X","book","hardcover"
"0199773742","book","hardcover"
"0062117602","book","hardcover"
"0393071588","book","hardcover"
"0316219568","book","hardcover"
"0684848783","book","hardcover"
"1451682468","book","hardcover"
"1442402970","book","hardcover"
"1452125503","book","hardcover"
"0773415181","book","hardcover"
"1599797267","book","hardcover"
"1410457583","book","hardcover"
"9380905076","book","hardcover"
"1742376509","book","hardcover"
"0812992946","book","hardcover"
"0231162928","book","hardcover"
"9004218955","book","hardcover"
"1401939414","book","hardcover"
"3527304460","book","hardcover"
"1423146727","book","hardcover"
"1451667000","book","hardcover"
"0307986276","book","hardcover"
"1613743807","book","hardcover"
"0307273601","book","hardcover"
"1442218746","book","hardcover"
"1442220481","book","hardcover"
"0691148597","book","hardcover"
"1621362906","book","hardcover"
"162136299X","book","hardcover"
"0077701402","book","hardcover"
"1908737255","book","hardcover"
"1600788289","book","hardcover"
"0807073326","book","hardcover"
"1250019060","book","hardcover"
"0199651353","book","hardcover"
"161039156X","book","hardcover"
"1107029716","book","hardcover"
"0764345664","book","hardcover"
"1905177666","book","hardcover"
"0470383267","book","hardcover"
"1118290275","book","hardcover"
"0307956393","book","hardcover"
"0262019019","book","hardcover"
"111811521X","book","hardcover"
"0316154695","book","hardcover"
"B008SLGP66","book","hardcover"
"1584561971","book","hardcover"
"1612346243","book","hardcover"
"0399162127","book","hardcover"
"1906756058","book","hardcover"
"1616381981","book","hardcover"
"3833822015","book","hardcover"
"0316216852","book","hardcover"
"0545424941","book","hardcover"
"0061992259","book","hardcover"
"1118509234","book","hardcover"
"1137267070","book","hardcover"
"0066210674","book","hardcover"
"1449305172","book","hardcover"
"0764343378","book","hardcover"
"0465025994","book","hardcover"
"0071770186","book","hardcover"
"3430200938","book","hardcover"
"1596438622","book","hardcover"
"0307596907","book","hardcover"
"1423170288","book","hardcover"
"0691157456","book","hardcover"
"1610391136","book","hardcover"
"0071781749","book","hardcover"
"1605490466","book","hardcover"
"1591846404","book","hardcover"
"B00BJEE3PE","book","hardcover"
"1461471370","book","hardcover"
"0691149771","book","hardcover"
"1610390466","book","hardcover"
"1461468485","book","hardcover"
"006224812X","book","hardcover"
"1626190836","book","hardcover"
"0312365454","book","hardcover"
"162040527X","book","hardcover"
"1595620400","book","hardcover"
"3938100818","book","hardcover"
"0307701220","book","hardcover"
"0470645954","book","hardcover"
"1250027004","book","hardcover"
"1907621091","book","hardcover"
"0071817883","book","hardcover"
"1908211024","book","hardcover"
"0316204366","book","hardcover"
"3895663093","book","hardcover"
"0399161864","book","hardcover"
"1608872114","book","hardcover"
"142218739X","book","hardcover"
